"Video URL","User Channel URL","User Name","Comment Text","Number of Likes","Number of Replies","Comment Time","Replies"
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@gilbertsos3460","@gilbertsos3460","Domingo en la mañana, es mi día libre, y nada mejor que estar en mi cuarto viendo tus vídeos bro. Eres un grande, saludos y bendiciones desde Falcón, Venezuela. Me encantó tu serie de vídeos de mi Estado, espero regreses pronto y poder coincidir de pura casualidad en alguna parte 🫡🫂🇻🇪❤️✊🏼.","179","3","2 days ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@misafe1094","@misafe1094","Juan, TE MERECES MUCHOS PREMIOS POR TU TRABAJO ""EXCEPCIONAL!!!""; LUGARES Y SITUACIONES INCREÍBLES,  PERO TAMBIEN ARRIESGANDO TU.Este viaje a India es un Ej. Muy Evidente.ERES EL MEJOR,SIN DUDAS!!!.CUIDATE.","56","1","2 days ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@Torito001","@Torito001","Juan, Juanito mi amigo. Admirarlo su valentía y predisposición de estar en esos lugares. Pero gracias  a ti , puedo conocer lo increíble que es el mundo. Cuídese siempre.","29","0","2 days ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@lizerika1","@lizerika1","No me cansaré de seguirte. Qué orgullo tener a un compatriota tan valiente y aventurero montrándonos a miles de personas  lugares tan enigmáticos e increibles. Mis respetos y admiración para ti Juan.","5","0","1 day ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@quetzallipadilla9127","@quetzallipadilla9127","Yo también conozco buena parte del mundo y coincido contigo en qye Varanasi es un lugar que nos va a quebrar la cabeza a todos los que no compartamos esas creencias. Me impactó ver el nivel del río tan arriba que se metía hasta las calles, Pero aún más lo valiente que eres por ir hasta los crematorios. Yo no me atreví y simplemente los vi desde lejos tanto de las escaleras (ghats) cómo desde una lancha. Pero la vista de un brazo saliendo de una hoguera jamás se olvida 😮 Con tu video volvi a sentir las mismas náuseas que en ese viaje que realicé hace ya más de 10 años 😂","2","0","19 hours ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@carolinarosas6315","@carolinarosas6315","Mis respetos para este video Juan, la forma en la que te expresas sin mostrar disgusto (porque he visto a varios hacer muecas), y el respeto al filmar este ritual, que sin duda tuvo que ser dificil para ti, a nivel fisico y mental. 

Y mención aparte, tus nervios de acero al entrar descalzo a esa zona.","21","1","2 days ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@FPNWVDFI32","@FPNWVDFI32","es un contraste tan grande entre la india y latam.
en latam tendremos alguna que otra dificultad pero puedo apostar que todos elijiriamos vivir en algun lugar de latam antes que la india. 
a mi me agobia imaginarme estar alli, tanto ruido, tanta contaminacion etc...","24","0","2 days ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@CoyitadeEcuador777","@CoyitadeEcuador777","JUAN LE AGRADEZCO TANTO POR  LLEVARNOS CON USTED y HACERNOS CONOCER LO QUE NADIE LO HACE MIS RESPETOS PARA CON USTED Y SU CANAL, DIOS ME LO BENDIGA!!","21","0","2 days ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@alexandrabrinez8363","@alexandrabrinez8363","Es una mezcla incomprensible para nosotros ,que no somos de ese país las imágenes que emos visto atraves de ti, gracias  Juan eres muy valiente .","2","0","20 hours ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@amb4125","@amb4125","3:49 en definitiva no es para todo el mundo, yo no podria ir por allá y aceptar caminar o estar ahì, por eso amo este canal, nos muestra cosas que nunca podremos ver o seriamos capaz ❤","2","0","1 day ago",""
